gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
ENSG00000188290,False,HES4,NCBITaxon:9606,gene,29658.0,True,272.0,0.18334116367053238,0.8737379238012086,3.7066241063973298
ENSG00000187608,False,ISG15,NCBITaxon:9606,gene,177281.0,True,325.0,1.0959236913033803,8.021368001848572,3.3301195558761796
ENSG00000186891,False,TNFRSF18,NCBITaxon:9606,gene,13162.0,True,1043.0,0.08136544595830963,0.1600555627695974,1.6103589219797305
ENSG00000186827,False,TNFRSF4,NCBITaxon:9606,gene,12719.0,True,1117.0,0.07862688855369551,0.14968159965188868,1.5581531538707727
ENSG00000162576,False,MXRA8,NCBITaxon:9606,gene,733.0,True,2924.0,0.004531292500185456,0.0061428049838181415,1.1090104969489119
ENSG00000196581,False,AJAP1,NCBITaxon:9606,gene,382.0,True,2085.0,0.0023614648500284363,0.0034068230709574463,1.2156883894102288
ENSG00000049249,False,TNFRSF9,NCBITaxon:9606,gene,2448.0,True,2938.0,0.01513315694468485,0.02061629687752742,1.1083588343882613
ENSG00000142583,False,SLC2A5,NCBITaxon:9606,gene,876.0,True,2878.0,0.005415296357656834,0.007401298197923391,1.112178439049487
ENSG00000162444,False,RBP7,NCBITaxon:9606,gene,84575.0,True,605.0,0.5228295541653273,1.8025796409343189,2.1559401130932727
ENSG00000142657,False,PGD,NCBITaxon:9606,gene,83219.0,True,1290.0,0.514446972132242,1.1890805525748969,1.4527638148955235
ENSG00000177674,False,AGTRAP,NCBITaxon:9606,gene,135179.0,True,1938.0,0.8356556464973666,1.9969332008063247,1.2461580255852256
ENSG00000120949,False,TNFRSF8,NCBITaxon:9606,gene,7550.0,True,2737.0,0.0466729309364259,0.06352268053528769,1.125807425340817
ENSG00000028137,False,TNFRSF1B,NCBITaxon:9606,gene,339410.0,True,968.0,2.0981800647857374,11.317635702918583,1.6622307850542632
ENSG00000142627,False,EPHA2,NCBITaxon:9606,gene,466.0,True,1471.0,0.002880739843228407,0.004764115250292441,1.380389857638435
ENSG00000117115,False,PADI2,NCBITaxon:9606,gene,14097.0,True,1726.0,0.08714547118023788,0.13748824077678043,1.2929460607874714
ENSG00000159339,False,PADI4,NCBITaxon:9606,gene,30728.0,True,898.0,0.18995573798867485,0.42187051478453114,1.7186837489412405
ENSG00000158825,False,CDA,NCBITaxon:9606,gene,78170.0,True,943.0,0.48323483593382954,1.269521045449765,1.6823738472236358
ENSG00000173372,False,C1QA,NCBITaxon:9606,gene,32151.0,True,26.0,0.19875250364728864,5.594943888622446,21.640897954832578
ENSG00000159189,False,C1QC,NCBITaxon:9606,gene,4960.0,True,37.0,0.03066195197942682,0.6091870002298556,16.41326936466053
ENSG00000173369,False,C1QB,NCBITaxon:9606,gene,20582.0,True,15.0,0.12723473702430702,5.307315360388734,33.85711201860296
ENSG00000204219,False,TCEA3,NCBITaxon:9606,gene,12638.0,True,2354.0,0.07812615909596697,0.11192078288203067,1.1725675035623906
ENSG00000117318,False,ID3,NCBITaxon:9606,gene,14431.0,True,719.0,0.08921020746272347,0.21544857288813368,1.9797337885106931
ENSG00000179163,False,FUCA1,NCBITaxon:9606,gene,30010.0,True,1935.0,0.18551717316584654,0.2978470332108231,1.2466593573798705
ENSG00000188822,False,CNR2,NCBITaxon:9606,gene,5297.0,True,2900.0,0.032745233797383845,0.04399985470457104,1.1105822431306005
ENSG00000117602,False,RCAN3,NCBITaxon:9606,gene,100720.0,True,2713.0,0.622635444227393,1.1915713609256722,1.1282524957998825
ENSG00000169504,False,CLIC4,NCBITaxon:9606,gene,24258.0,True,1373.0,0.14995919982196285,0.26604532390421315,1.418496872438685
ENSG00000117632,False,STMN1,NCBITaxon:9606,gene,61410.0,True,83.0,0.37962711110012115,4.902475220584233,8.799436435255963
ENSG00000176083,False,ZNF683,NCBITaxon:9606,gene,11928.0,True,661.0,0.07373704903439579,0.1851873696649928,2.057729491416834
ENSG00000000938,False,FGR,NCBITaxon:9606,gene,195797.0,True,1423.0,1.2103867362330307,3.9303481525783814,1.3977438371284192
ENSG00000126709,False,IFI6,NCBITaxon:9606,gene,154836.0,True,469.0,0.9571721767513167,4.886539498159909,2.492995913587695
ENSG00000130775,False,THEMIS2,NCBITaxon:9606,gene,133167.0,True,1567.0,0.8232177740411958,2.1022703503547953,1.3409965233478638
ENSG00000169403,False,PTAFR,NCBITaxon:9606,gene,62894.0,True,745.0,0.38880096931332064,1.1131022040640866,1.939261214390934
ENSG00000270103,False,RNU11_ENSG00000270103,NCBITaxon:9606,gene,14530.0,True,2588.0,0.08982221013328058,0.1251144160701881,1.1418829842948808
ENSG00000134668,False,SPOCD1,NCBITaxon:9606,gene,626.0,True,1702.0,0.0038698350683712074,0.006105088822828456,1.3000781397900631
ENSG00000175130,False,MARCKSL1,NCBITaxon:9606,gene,73484.0,True,931.0,0.45426670952745973,1.179631096833144,1.6911586228622406
ENSG00000116514,False,RNF19B,NCBITaxon:9606,gene,63987.0,True,379.0,0.3955577260700774,1.711716818938828,2.9185329520828893
ENSG00000092853,False,CLSPN,NCBITaxon:9606,gene,4851.0,True,277.0,0.029988130857298286,0.13345157778485423,3.6757080519014567
ENSG00000142694,False,EVA1B,NCBITaxon:9606,gene,22642.0,True,2450.0,0.1399693380480206,0.20155915906547933,1.159881257786841
ENSG00000119535,False,CSF3R,NCBITaxon:9606,gene,238130.0,True,642.0,1.4720827872703444,8.049436063052163,2.092855557351628
ENSG00000163874,False,ZC3H12A,NCBITaxon:9606,gene,34633.0,True,889.0,0.21409584332731635,0.4872697629126423,1.7310897739527054
ENSG00000134690,False,CDCA8,NCBITaxon:9606,gene,1535.0,True,723.0,0.009489132316213744,0.02311056410856977,1.9724115923638674
ENSG00000188786,False,MTF1,NCBITaxon:9606,gene,39273.0,True,1714.0,0.24277960485645755,0.4207409393894586,1.2955504573358954
ENSG00000116985,False,BMP8B,NCBITaxon:9606,gene,1450.0,True,2719.0,0.00896367547785663,0.0124812390383287,1.1275402916275723
ENSG00000116990,False,MYCL,NCBITaxon:9606,gene,15853.0,True,2098.0,0.09800079127618011,0.145183963303722,1.2129257824768693
