,gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000188290,ENSG00000188290,False,HES4,NCBITaxon:9606,gene
ENSG00000187608,ENSG00000187608,False,ISG15,NCBITaxon:9606,gene
ENSG00000186891,ENSG00000186891,False,TNFRSF18,NCBITaxon:9606,gene
ENSG00000186827,ENSG00000186827,False,TNFRSF4,NCBITaxon:9606,gene
ENSG00000162576,ENSG00000162576,False,MXRA8,NCBITaxon:9606,gene
ENSG00000197530,ENSG00000197530,False,MIB2,NCBITaxon:9606,gene
ENSG00000189409,ENSG00000189409,False,MMP23B,NCBITaxon:9606,gene
ENSG00000149527,ENSG00000149527,False,PLCH2,NCBITaxon:9606,gene
ENSG00000235169,ENSG00000235169,False,SMIM1,NCBITaxon:9606,gene
ENSG00000158292,ENSG00000158292,False,GPR153,NCBITaxon:9606,gene
ENSG00000215788,ENSG00000215788,False,TNFRSF25,NCBITaxon:9606,gene
ENSG00000171680,ENSG00000171680,False,PLEKHG5,NCBITaxon:9606,gene
ENSG00000049247,ENSG00000049247,False,UTS2,NCBITaxon:9606,gene
ENSG00000049249,ENSG00000049249,False,TNFRSF9,NCBITaxon:9606,gene
ENSG00000131686,ENSG00000131686,False,CA6,NCBITaxon:9606,gene
ENSG00000142583,ENSG00000142583,False,SLC2A5,NCBITaxon:9606,gene
ENSG00000171621,ENSG00000171621,False,SPSB1,NCBITaxon:9606,gene
ENSG00000231789,ENSG00000231789,False,PIK3CD-AS2,NCBITaxon:9606,gene
ENSG00000162444,ENSG00000162444,False,RBP7,NCBITaxon:9606,gene
ENSG00000142657,ENSG00000142657,False,PGD,NCBITaxon:9606,gene
ENSG00000162490,ENSG00000162490,False,DRAXIN,NCBITaxon:9606,gene
ENSG00000177674,ENSG00000177674,False,AGTRAP,NCBITaxon:9606,gene
ENSG00000028137,ENSG00000028137,False,TNFRSF1B,NCBITaxon:9606,gene
ENSG00000162496,ENSG00000162496,False,DHRS3,NCBITaxon:9606,gene
ENSG00000142621,ENSG00000142621,False,FHAD1,NCBITaxon:9606,gene
ENSG00000228140,ENSG00000228140,False,RP3-467K16.4,NCBITaxon:9606,gene
ENSG00000142634,ENSG00000142634,False,EFHD2,NCBITaxon:9606,gene
